suite,benchmark,config,time,stime,utime,major,minor,maxrss,status
SPEC2017,605.mcf_s,nohoisting,1434.36163,7.818068,1426.543562,0,3330094,4065344,0
SPEC2017,605.mcf_s,nohoisting,1417.4028600000001,6.990455,1410.412405,0,3219408,4065236,0
SPEC2017,605.mcf_s,notracking,1263.042173,7.198165,1255.844008,0,3216826,4065128,0
SPEC2017,605.mcf_s,notracking,1262.310907,7.126322,1255.184585,0,3217337,4065196,0
SPEC2017,620.omnetpp_s,nohoisting,1200.104364,0.17596,1199.928404,0,63049,256364,0
SPEC2017,620.omnetpp_s,nohoisting,1200.078726,0.159963,1199.918763,0,63047,256368,0
SPEC2017,620.omnetpp_s,notracking,1038.733238,0.19194699999999998,1038.541291,0,70137,248568,0
SPEC2017,620.omnetpp_s,notracking,1036.60754,0.175956,1036.431584,0,69625,248440,0
SPEC2017,623.xalancbmk_s,nohoisting,1465.686251,0.411933,1465.274318,0,126243,509776,0
SPEC2017,623.xalancbmk_s,nohoisting,1466.505385,0.36793699999999996,1466.137448,0,126758,509760,0
SPEC2017,623.xalancbmk_s,notracking,1342.370486,0.299944,1342.070542,0,124153,492736,0
SPEC2017,623.xalancbmk_s,notracking,1348.213671,0.395908,1347.817763,0,123022,492800,0
SPEC2017,625.x264_s,nohoisting,332.11046799999997,0.491861,331.618607,0,78687,162600,0
SPEC2017,625.x264_s,nohoisting,331.37345400000004,0.403875,330.969579,0,39697,162456,0
SPEC2017,625.x264_s,notracking,187.06754999999998,0.41189299999999995,186.655657,0,39464,161208,0
SPEC2017,625.x264_s,notracking,187.591579,0.45986099999999996,187.131718,0,78106,161224,0
SPEC2017,631.deepsjeng_s,nohoisting,730.698288,4.610626,726.087662,0,1763005,7046760,0
SPEC2017,631.deepsjeng_s,nohoisting,786.1851790000001,15.383049,770.80213,0,3529169,7046668,0
SPEC2017,631.deepsjeng_s,notracking,564.7134930000001,4.363053,560.35044,0,1762956,7046548,0
SPEC2017,631.deepsjeng_s,notracking,563.422332,4.251082,559.17125,0,1762443,7046476,0
SPEC2017,641.leela_s,nohoisting,1966.3140409999999,0.071986,1966.242055,0,28052,74708,0
SPEC2017,641.leela_s,nohoisting,1967.1374489999998,0.04399,1967.093459,0,27767,74708,0
SPEC2017,641.leela_s,notracking,1900.7345169999999,0.059992,1900.674525,0,29773,74712,0
SPEC2017,641.leela_s,notracking,1900.476805,0.079987,1900.396818,0,29854,74720,0
SPEC2017,657.xz_s,nohoisting,2376.073967,5.002909,2371.071058,0,1620033,4304532,0
SPEC2017,657.xz_s,nohoisting,2355.174408,4.558874,2350.615534,0,1617942,4304556,0
SPEC2017,657.xz_s,notracking,1863.7273899999998,4.262918,1859.464472,0,1615829,4304088,0
SPEC2017,657.xz_s,notracking,1880.071713,4.1351189999999995,1875.936594,0,1614822,4304020,0
SPEC2017,619.lbm_s,nohoisting,1606.9698540000002,2.319367,1604.650487,0,835897,3303052,0
SPEC2017,619.lbm_s,nohoisting,1607.5329259999999,2.335443,1605.197483,0,834130,3303124,0
SPEC2017,619.lbm_s,notracking,1654.787382,2.407498,1652.379884,0,831281,3303100,0
SPEC2017,619.lbm_s,notracking,1656.325599,2.395527,1653.930072,0,830767,3303076,0
SPEC2017,638.imagick_s,nohoisting,10945.381446,26.267827,10919.113619,0,5887851,7349508,0
SPEC2017,638.imagick_s,nohoisting,10939.483188999999,26.721708,10912.761481,0,5887879,7349700,0
SPEC2017,638.imagick_s,notracking,9954.203175999999,26.015157,9928.188019,0,5883679,7344396,0
SPEC2017,638.imagick_s,notracking,9955.281664,25.486576,9929.795088,0,5869108,7344592,0
SPEC2017,644.nab_s,nohoisting,4367.377825,3.239372,4364.138453,0,145867,575188,0
SPEC2017,644.nab_s,nohoisting,4368.437576,2.243448,4366.194128,0,212120,575092,0
SPEC2017,644.nab_s,notracking,2935.339906,1.619704,2933.720202,0,146596,576540,0
SPEC2017,644.nab_s,notracking,2943.764917,1.995512,2941.769405,0,211537,576564,0
