workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,9537.0,10485.477613505294,20257.0,98.95685442069409,42.0,37951.0,121.0,167.0,20257.0,29583.0,1,50
workloada,baseline,7252.0,13789.299503585218,20382.0,72.30890000981258,40.0,18895.0,120.0,142.0,20382.0,29674.0,1,50
workloada,alaska,7452.0,13419.216317767043,20360.0,74.67367387033399,42.0,39199.0,107.0,169.0,20360.0,29501.0,2,50
workloada,baseline,6309.0,15850.372483753368,20495.0,65.03239814588925,40.0,23871.0,95.0,134.0,20495.0,29774.0,2,50
workloada,alaska,7198.0,13892.747985551541,20472.0,74.31921649081673,41.0,20943.0,103.0,132.0,20472.0,29485.0,4,50
workloada,baseline,8265.0,12099.213551119177,20375.0,82.75754601226994,40.0,15983.0,118.0,142.0,20375.0,29440.0,4,50
workloada,alaska,8667.0,11538.017768547363,20610.0,87.80431829209122,46.0,28847.0,115.0,143.0,20610.0,29633.0,8,50
workloada,baseline,9814.0,10189.525168127166,20422.0,97.47169718930564,41.0,17407.0,117.0,143.0,20422.0,29734.0,8,50
workloada,alaska,10607.0,9427.736400490243,20475.0,107.67199023199024,41.0,15735.0,130.0,189.0,20475.0,29199.0,16,50
workloada,baseline,6516.0,15346.838551258441,20698.0,64.22958739974877,39.0,5907.0,97.0,129.0,20698.0,29171.0,16,50
workloada,alaska,11334.0,8823.010411152285,20535.0,116.79138056975894,44.0,8687.0,166.0,241.0,20535.0,29413.0,32,50
workloada,baseline,7936.0,12600.806451612903,20475.0,79.02876678876679,39.0,27871.0,117.0,141.0,20475.0,29412.0,32,50
workloada,alaska,7959.0,12564.392511622063,20631.0,82.95443749697058,41.0,34591.0,113.0,138.0,20631.0,29311.0,1,150
workloada,baseline,9692.0,10317.78786628147,20269.0,95.93828013222162,38.0,1833.0,120.0,139.0,20269.0,29704.0,1,150
workloada,alaska,10393.0,9621.86086789185,20364.0,106.13342172461206,46.0,33343.0,127.0,160.0,20364.0,29150.0,2,150
workloada,baseline,8152.0,12266.92836113837,20339.0,80.79030434141305,47.0,17103.0,118.0,140.0,20339.0,29410.0,2,150
