time_ms,rss
0,2011136
150,21340160
300,51347456
450,79732736
600,107036672
752,137043968
902,156778496
1052,184352768
1202,215465984
1352,246013952
1502,275480576
1652,303865856
1802,306839552
1952,306839552
2051,303984640
2202,303984640
2352,303984640
2502,303984640
2652,303984640
2802,303984640
2952,303984640
3142,252100608
3292,252100608
3442,252100608
3592,252100608
3742,252100608
3893,252100608
4043,252100608
4193,252100608
4343,252100608
4405,215187456
4555,215187456
4705,215187456
4855,215187456
5005,215187456
5155,215187456
5305,215187456
5456,215187456
5606,215187456
5667,177664000
5817,177664000
5968,177664000
6118,177664000
6268,177664000
6418,177664000
6568,177664000
6742,158052352
6892,158052352
7043,158052352
7193,158052352
7343,158052352
7493,158052352
7643,158052352
7793,158052352
7943,158052352
8093,158052352
8243,158052352
8394,158052352
8544,158052352
8694,158052352
8844,158052352
8994,158052352
9144,158052352
9294,158052352
9444,158052352
9594,158052352
9745,158052352
9895,158052352
10045,158052352
10195,158052352
10345,158052352
10495,158052352
10645,158052352
10795,158052352
10945,158052352
11095,158052352
11246,158052352
11396,158052352
11546,158052352
11696,158052352
11846,158052352
