suite,benchmark,config,time,stime,utime,major,minor,maxrss,status
Embench,matmult-int,alaska,2.538898,0.003998,2.5349,0,130,74304,0
Embench,matmult-int,alaska,2.5392200000000003,0.003998,2.535222,0,134,74484,0
Embench,matmult-int,baseline,2.905069,0.0,2.905069,0,131,74428,0
Embench,matmult-int,baseline,2.9066520000000002,0.0,2.9066520000000002,0,128,74428,0
Embench,crc32,alaska,5.070339000000001,0.003998,5.066341,0,126,74428,0
Embench,crc32,alaska,5.072828,0.0,5.072828,0,128,74428,0
Embench,crc32,baseline,5.085801999999999,0.004001,5.081801,0,124,74428,0
Embench,crc32,baseline,5.080853,0.0,5.080853,0,125,74428,0
Embench,huffbench,alaska,3.439264,0.0,3.439264,0,130,74428,0
Embench,huffbench,alaska,3.433783,0.0,3.433783,0,135,74428,0
Embench,huffbench,baseline,2.949166,0.0,2.949166,0,130,74448,0
Embench,huffbench,baseline,2.949804,0.0,2.949804,0,127,74448,0
Embench,statemate,alaska,1.59646,0.0,1.59646,0,131,74448,0
Embench,statemate,alaska,1.5937999999999999,0.0,1.5937999999999999,0,128,74448,0
Embench,statemate,baseline,1.593851,0.0,1.593851,0,126,74516,0
Embench,statemate,baseline,1.593732,0.0,1.593732,0,124,74516,0
Embench,minver,alaska,0.628219,0.0,0.628219,0,132,74584,0
Embench,minver,alaska,0.628347,0.0,0.628347,0,130,74584,0
Embench,minver,baseline,0.596289,0.0,0.596289,0,126,74588,0
Embench,minver,baseline,0.5947969999999999,0.003991,0.5908059999999999,0,125,74524,0
Embench,slre,alaska,5.014137,0.0,5.014137,0,134,74464,0
Embench,slre,alaska,5.016893,0.0,5.016893,0,134,74528,0
Embench,slre,baseline,3.535764,0.0,3.535764,0,126,74532,0
Embench,slre,baseline,3.541785,0.0,3.541785,0,126,74468,0
Embench,edn,alaska,3.850855,0.003998,3.846857,0,131,74596,0
Embench,edn,alaska,3.904087,0.0,3.904087,0,132,74476,0
Embench,edn,baseline,3.785218,0.0,3.785218,0,124,74480,0
Embench,edn,baseline,3.785425,0.0,3.785425,0,127,74544,0
Embench,nbody,alaska,0.14155099999999998,0.0,0.14155099999999998,0,129,74484,0
Embench,nbody,alaska,0.14111,0.007839,0.133271,0,128,74484,0
Embench,nbody,baseline,0.128174,0.003884,0.12429,0,126,74488,0
Embench,nbody,baseline,0.128561,0.003895,0.124666,0,123,74488,0
Embench,tarfind,alaska,1.152917,0.0,1.152917,0,134,74504,0
Embench,tarfind,alaska,1.170647,0.0,1.170647,0,132,74508,0
Embench,tarfind,baseline,1.075386,0.0,1.075386,0,126,74508,0
Embench,tarfind,baseline,1.129036,0.0039889999999999995,1.125047,0,127,74508,0
Embench,cubic,alaska,0.209448,0.0,0.209448,0,134,74508,0
Embench,cubic,alaska,0.209637,0.0,0.209637,0,137,74508,0
Embench,cubic,baseline,0.201724,0.0,0.201724,0,129,74512,0
Embench,cubic,baseline,0.20143,0.0,0.20143,0,133,74512,0
Embench,aha-mont64,alaska,4.972336,0.0,4.972336,0,131,74512,0
Embench,aha-mont64,alaska,4.973881,0.0,4.973881,0,128,74516,0
Embench,aha-mont64,baseline,4.899196,0.0,4.899196,0,128,74516,0
Embench,aha-mont64,baseline,4.902538,0.0,4.902538,0,126,74516,0
Embench,primecount,alaska,10.922653,0.0,10.922653,0,132,74516,0
Embench,primecount,alaska,10.926515,0.0,10.926515,0,130,74516,0
Embench,primecount,baseline,10.949522,0.0,10.949522,0,124,74516,0
Embench,primecount,baseline,10.947864,0.0,10.947864,0,123,74516,0
Embench,picojpeg,alaska,4.252548,0.0,4.252548,0,132,74516,0
Embench,picojpeg,alaska,4.234692,0.003998,4.230694,0,138,74516,0
Embench,picojpeg,baseline,4.249093,0.0,4.249093,0,127,74516,0
Embench,picojpeg,baseline,4.2535,0.003997,4.249503,0,129,74516,0
Embench,st,alaska,0.24850899999999998,0.0,0.24850899999999998,0,128,74516,0
Embench,st,alaska,0.24847899999999998,0.0,0.24847899999999998,0,131,74516,0
Embench,st,baseline,0.24947099999999997,0.003959,0.24551199999999998,0,129,74520,0
Embench,st,baseline,0.24864999999999998,0.0,0.24864999999999998,0,129,74524,0
Embench,nsichneu,alaska,2.5434959999999998,0.003999,2.539497,0,128,74524,0
Embench,nsichneu,alaska,2.543169,0.0,2.543169,0,129,74524,0
Embench,nsichneu,baseline,2.499184,0.0,2.499184,0,125,74524,0
Embench,nsichneu,baseline,2.499068,0.0,2.499068,0,123,74524,0
Embench,ud,alaska,4.245731,0.003997,4.241734,0,131,74524,0
Embench,ud,alaska,4.241427,0.0,4.241427,0,128,74528,0
Embench,ud,baseline,4.338977,0.0,4.338977,0,124,74528,0
Embench,ud,baseline,4.339461,0.0,4.339461,0,127,74532,0
Embench,nettle-aes,alaska,2.840413,0.0,2.840413,0,132,74532,0
Embench,nettle-aes,alaska,2.840756,0.0,2.840756,0,133,74532,0
Embench,nettle-aes,baseline,2.798542,0.003997,2.794545,0,127,74532,0
Embench,nettle-aes,baseline,2.805865,0.0,2.805865,0,127,74544,0
Embench,wikisort,alaska,1.018441,0.0,1.018441,0,134,74544,0
Embench,wikisort,alaska,1.017362,0.0,1.017362,0,138,74548,0
Embench,wikisort,baseline,0.775604,0.003997,0.7716069999999999,0,128,74556,0
Embench,wikisort,baseline,0.77825,0.0,0.77825,0,128,74568,0
Embench,sglib-combined,alaska,5.424012,0.0,5.424012,0,144,74572,0
