time_ms,rss
0,3137536
150,25919488
300,81534976
450,129400832
600,184586240
750,235565056
900,242278400
1050,242278400
1200,242335744
1351,242335744
1501,242335744
1651,242335744
1801,242401280
1951,242401280
2101,242401280
2251,242401280
2401,242401280
2552,242401280
2702,242401280
2852,242401280
3002,242401280
3152,242401280
3302,242401280
3452,241381376
3602,241381376
3752,241381376
3903,241381376
4053,241381376
4203,241090560
4353,241090560
4503,241090560
4653,241090560
4803,241090560
4953,241090560
5103,238346240
5254,238346240
5404,238346240
5554,238346240
5704,238346240
5854,238346240
6004,238346240
6154,238346240
6304,238346240
6454,238346240
6605,238346240
6755,238346240
6905,238346240
7055,238346240
7205,231919616
7355,231919616
7505,231919616
7655,231919616
7806,227905536
7956,227905536
8106,227905536
8256,227905536
8406,222154752
8556,222154752
8706,219340800
8856,216297472
9006,216297472
9157,213041152
9307,213041152
9457,208887808
9607,208887808
9757,203788288
9907,203788288
10057,199225344
10207,199225344
10357,199225344
10508,193761280
10658,193761280
10808,188256256
