time_ms,rss
0,2056192
150,27471872
300,75591680
450,120197120
600,154800128
750,198864896
900,246444032
1050,290779136
1200,306999296
1350,306999296
1528,299831296
1678,299831296
1828,299831296
1978,299831296
2124,256823296
2274,256823296
2424,256823296
2574,256823296
2724,256823296
2874,256823296
2932,224821248
3083,224821248
3233,224821248
3383,224821248
3533,224821248
3706,199168000
3856,199168000
4006,199168000
4156,199168000
4307,199168000
4350,166903808
4500,166903808
4650,166903808
4800,166903808
4950,166903808
5045,158044160
5195,158044160
5346,158044160
5496,158044160
5646,158044160
5796,158044160
5946,158044160
6096,158044160
6246,158044160
6396,158044160
6547,158044160
6697,158044160
6847,158044160
6997,158044160
7147,158044160
7297,158044160
7447,158044160
7597,158044160
7747,158044160
7898,158044160
8048,158044160
8198,158044160
8348,158044160
8498,158044160
8648,158044160
8798,158044160
8948,158044160
9098,158044160
9249,158044160
9399,158044160
9549,158044160
9699,158044160
9849,158044160
9999,158044160
10149,158044160
10299,158044160
10449,158044160
10600,158044160
10750,158044160
10900,158044160
11050,158044160
11200,158044160
