suite,benchmark,config,time,stime,utime,major,minor,maxrss,status
Embench,matmult-int,alaska,1.854282,0.0,1.854282,0,136,71000,0
Embench,matmult-int,baseline,1.840884,0.0,1.840884,0,130,71044,0
Embench,crc32,alaska,3.579033,0.0,3.579033,0,131,71048,0
Embench,crc32,baseline,3.580483,0.0,3.580483,0,127,71048,0
Embench,huffbench,alaska,2.017662,0.0,2.017662,0,135,71048,0
Embench,huffbench,baseline,1.7980369999999999,0.003994999999999999,1.794042,0,131,71048,0
Embench,statemate,alaska,1.118439,0.0,1.118439,0,133,71048,0
Embench,statemate,baseline,1.072897,0.0,1.072897,0,128,71048,0
Embench,minver,alaska,0.40466599999999997,0.0,0.40466599999999997,0,129,71048,0
Embench,minver,baseline,0.419537,0.0,0.419537,0,128,71048,0
Embench,slre,alaska,2.616637,0.0,2.616637,0,133,71048,0
Embench,slre,baseline,1.8241299999999998,0.0,1.8241299999999998,0,127,71052,0
Embench,edn,alaska,2.450598,0.0,2.450598,0,131,71052,0
Embench,edn,baseline,2.503321,0.0,2.503321,0,128,71052,0
Embench,nbody,alaska,0.09980399999999999,0.0,0.09980399999999999,0,133,71056,0
Embench,nbody,baseline,0.089613,0.0,0.089613,0,128,71056,0
Embench,tarfind,alaska,0.741817,0.0,0.741817,0,133,71060,0
Embench,tarfind,baseline,0.698809,0.0,0.698809,0,128,71060,0
Embench,cubic,alaska,0.15237199999999998,0.0,0.15237199999999998,0,139,71064,0
Embench,cubic,baseline,0.14341199999999998,0.0,0.14341199999999998,0,134,71068,0
Embench,aha-mont64,alaska,3.070215,0.0,3.070215,0,134,71072,0
Embench,aha-mont64,baseline,3.089999,0.003997,3.086002,0,128,71072,0
Embench,primecount,alaska,4.309711,0.0,4.309711,0,130,71076,0
Embench,primecount,baseline,4.344302,0.0,4.344302,0,127,71076,0
Embench,picojpeg,alaska,1.7605,0.0,1.7605,0,136,71076,0
Embench,picojpeg,baseline,1.7431409999999998,0.003998,1.7391429999999999,0,129,71076,0
Embench,st,alaska,0.15325399999999997,0.003929,0.14932499999999999,0,133,71080,0
Embench,st,baseline,0.153914,0.0,0.153914,0,127,71080,0
Embench,nsichneu,alaska,1.442905,0.0,1.442905,0,131,71084,0
Embench,nsichneu,baseline,1.411242,0.0,1.411242,0,127,71084,0
Embench,ud,alaska,2.228212,0.0,2.228212,0,133,71088,0
Embench,ud,baseline,2.168672,0.0,2.168672,0,128,71088,0
Embench,nettle-aes,alaska,1.728017,0.0,1.728017,0,131,71088,0
Embench,nettle-aes,baseline,1.735535,0.0,1.735535,0,127,71088,0
Embench,wikisort,alaska,0.5783929999999999,0.0,0.5783929999999999,0,139,71088,0
Embench,wikisort,baseline,0.47885999999999995,0.00399,0.47486999999999996,0,127,71088,0
Embench,sglib-combined,alaska,2.782332,0.0,2.782332,0,146,71088,0
Embench,sglib-combined,baseline,2.344754,0.0,2.344754,0,131,71088,0
Embench,qrduino,alaska,2.680412,0.0,2.680412,0,137,71088,0
Embench,qrduino,baseline,2.0674110000000003,0.003998,2.063413,0,129,71092,0
Embench,md5sum,alaska,1.025521,0.0,1.025521,0,130,71092,0
Embench,md5sum,baseline,1.025906,0.003991,1.021915,0,127,71092,0
Embench,nettle-sha256,alaska,1.776148,0.0,1.776148,0,131,71092,0
Embench,nettle-sha256,baseline,1.743407,0.0,1.743407,0,129,71092,0
GAP,bc,alaska,2.848591,0.048008999999999996,2.800582,0,54583,145532,0
GAP,bc,baseline,2.6690240000000003,0.075915,2.593109,0,54530,145456,0
GAP,bfs,alaska,1.202581,0.07990499999999999,1.122676,0,53247,145504,0
GAP,bfs,baseline,1.137296,0.052059,1.085237,0,53200,145420,0
GAP,cc,alaska,1.2651219999999999,0.047890999999999996,1.217231,0,53247,145744,0
GAP,cc,baseline,1.194454,0.056115,1.138339,0,53202,145456,0
GAP,cc_sv,alaska,1.975329,0.076128,1.899201,0,53247,145664,0
GAP,cc_sv,baseline,1.788666,0.068025,1.720641,0,53202,145516,0
GAP,pr,alaska,3.5586759999999997,0.095964,3.462712,0,53252,145628,0
GAP,pr,baseline,3.109076,0.064022,3.045054,0,53204,145560,0
GAP,pr_spmv,alaska,3.388544,0.06401,3.324534,0,53254,145688,0
GAP,pr_spmv,baseline,3.100697,0.06801499999999999,3.032682,0,53200,145416,0
GAP,sssp,alaska,2.520674,0.10002599999999999,2.420648,0,93484,270720,0
GAP,sssp,baseline,2.317276,0.099882,2.217394,0,93425,270456,0
GAP,tc,alaska,74.467258,0.38797499999999996,74.079283,0,358223,152056,0
GAP,tc,baseline,66.07489600000001,0.46393599999999996,65.61096,0,358179,151824,0
NAS,bt,alaska,178.51821600000002,0.287977,178.230239,0,307495,1233208,0
NAS,bt,baseline,176.629537,0.299975,176.329562,0,307486,1233240,0
NAS,sp,alaska,76.941885,0.079993,76.861892,0,80530,325228,0
NAS,sp,baseline,76.57819,0.099992,76.478198,0,80520,325156,0
NAS,lu,alaska,97.11644600000001,0.071994,97.044452,0,44594,181596,0
NAS,lu,baseline,99.444525,0.059993,99.384532,0,44581,181432,0
NAS,mg,alaska,3.5729509999999998,0.104027,3.468924,0,112626,453696,0
NAS,mg,baseline,3.318451,0.10794899999999999,3.210502,0,112136,451620,0
NAS,ft,alaska,20.074237,0.367967,19.70627,0,430591,1725868,0
NAS,ft,baseline,20.043902,0.39591899999999997,19.647983,0,430585,1725620,0
NAS,is,alaska,2.794766,0.087961,2.706805,0,69807,282292,0
NAS,is,baseline,2.82828,0.112011,2.716269,0,69803,282224,0
NAS,cg,alaska,28.196929,0.131985,28.064944,0,102204,412004,0
NAS,cg,baseline,27.188556000000002,0.111985,27.076571,0,102197,411972,0
NAS,ep,alaska,48.406601,0.003999,48.402602,0,435,71188,0
NAS,ep,baseline,54.121199,0.007998,54.113201,0,432,71188,0
SPEC2017,600.perlbench_s,alaska,0.275882,0.003998,0.271884,0,7721,71256,0
SPEC2017,600.perlbench_s,baseline,0.167088,0.007956,0.159132,0,5044,71200,0
SPEC2017,602.gcc_s,alaska,2.428444,0.068012,2.360432,0,31031,134548,0
SPEC2017,602.gcc_s,baseline,1.577439,0.036032,1.541407,0,23190,97848,0
SPEC2017,605.mcf_s,alaska,49.351022,0.18398099999999998,49.167041,0,151501,561396,0
SPEC2017,605.mcf_s,baseline,40.339748,0.191998,40.14775,0,151169,559992,0
SPEC2017,620.omnetpp_s,alaska,90.609161,0.09598799999999999,90.513173,0,57426,235864,0
SPEC2017,620.omnetpp_s,baseline,76.111779,0.147984,75.963795,0,63704,227436,0
SPEC2017,623.xalancbmk_s,alaska,172.60235200000002,0.207983,172.394369,0,93467,383596,0
SPEC2017,623.xalancbmk_s,baseline,109.662913,0.151981,109.510932,0,89918,366316,0
SPEC2017,625.x264_s,alaska,20.581173,0.07998899999999999,20.501184,0,39670,162008,0
SPEC2017,625.x264_s,baseline,18.123534,0.075998,18.047536,0,39463,161160,0
SPEC2017,631.deepsjeng_s,alaska,62.057500000000005,1.375855,60.681645,0,1760948,7046768,0
SPEC2017,631.deepsjeng_s,baseline,58.18765,1.363898,56.823752,0,1760905,7046432,0
SPEC2017,641.leela_s,alaska,207.09882100000002,0.023996999999999997,207.074824,0,11124,71324,0
SPEC2017,641.leela_s,baseline,167.72313699999998,0.019996999999999997,167.70314,0,11484,71320,0
SPEC2017,657.xz_s,alaska,13.569127,0.172014,13.397113,0,170650,571648,0
SPEC2017,657.xz_s,baseline,12.153654999999999,0.183964,11.969691,0,170572,571252,0
SPEC2017,619.lbm_s,alaska,111.079021,0.663922,110.415099,0,825140,3302916,0
SPEC2017,619.lbm_s,baseline,113.41475899999999,0.651946,112.762813,0,825138,3302892,0
SPEC2017,638.imagick_s,alaska,29.701601,0.007999,29.693602,0,5983,71360,0
SPEC2017,638.imagick_s,baseline,29.632683,0.015996,29.616687,0,5141,71364,0
SPEC2017,644.nab_s,alaska,68.168179,0.003999,68.16418,0,4093,71440,0
SPEC2017,644.nab_s,baseline,47.196327000000004,0.003999,47.192328,0,3949,71380,0
