workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,4474.0,22351.363433169423,20520.0,44.93211500974659,29.0,22703.0,50.0,75.0,20520.0,29359.0,1,50
workloada,baseline,4405.0,22701.475595913733,20484.0,44.266305409099786,32.0,22255.0,52.0,80.0,20484.0,29627.0,1,50
workloada,alaska,4194.0,23843.58607534573,20581.0,42.638112822506194,30.0,22879.0,48.0,92.0,20581.0,29407.0,2,50
workloada,baseline,4183.0,23906.28735357399,20803.0,40.4478680959477,32.0,440.0,57.0,85.0,20803.0,29455.0,2,50
workloada,alaska,3518.0,28425.241614553725,20275.0,35.89923551171393,26.0,20271.0,43.0,83.0,20275.0,29449.0,4,50
workloada,baseline,4006.0,24962.55616575137,20414.0,39.02816694425395,30.0,763.0,50.0,79.0,20414.0,29709.0,4,50
workloada,alaska,5039.0,19845.207382417146,20284.0,51.11738315914021,38.0,22383.0,58.0,102.0,20284.0,29458.0,8,50
workloada,baseline,3382.0,29568.30277942046,20547.0,33.1326714362194,26.0,630.0,57.0,82.0,20547.0,29409.0,8,50
workloada,alaska,3468.0,28835.06343713956,20454.0,34.76420260095825,26.0,1708.0,44.0,86.0,20454.0,29436.0,16,50
workloada,baseline,3751.0,26659.557451346307,20479.0,36.55554470433127,25.0,413.0,53.0,78.0,20479.0,29285.0,16,50
workloada,alaska,4231.0,23635.07445048452,20562.0,41.378611030055445,27.0,1965.0,50.0,93.0,20562.0,29553.0,32,50
workloada,baseline,4160.0,24038.46153846154,20443.0,41.06041187692609,31.0,568.0,55.0,97.0,20443.0,29586.0,32,50
workloada,alaska,3432.0,29137.529137529138,20510.0,35.47693807898586,27.0,22927.0,50.0,84.0,20510.0,29434.0,1,150
workloada,baseline,4188.0,23877.74594078319,20631.0,40.83898017546411,25.0,588.0,54.0,81.0,20631.0,29605.0,1,150
workloada,alaska,4423.0,22609.088853719197,20528.0,43.79574240062354,27.0,1589.0,56.0,90.0,20528.0,29424.0,2,150
workloada,baseline,3962.0,25239.77788995457,20721.0,38.64639737464408,31.0,388.0,49.0,87.0,20721.0,29330.0,2,150
workloada,alaska,4426.0,22593.764121102577,20558.0,43.51478743068392,26.0,1802.0,55.0,82.0,20558.0,29386.0,4,150
workloada,baseline,3422.0,29222.676797194625,20419.0,33.8752632352221,25.0,587.0,54.0,94.0,20419.0,29424.0,4,150
workloada,alaska,4170.0,23980.815347721822,20537.0,41.338900521010856,27.0,1927.0,54.0,86.0,20537.0,29281.0,8,150
workloada,baseline,3443.0,29044.43799012489,20507.0,35.325352318720434,26.0,15399.0,50.0,89.0,20507.0,29373.0,8,150
workloada,alaska,4304.0,23234.200743494424,20518.0,43.28228872209767,27.0,19039.0,57.0,92.0,20518.0,29520.0,16,150
workloada,baseline,4021.0,24869.43546381497,20514.0,40.17753729160573,30.0,14535.0,48.0,81.0,20514.0,29686.0,16,150
workloada,alaska,4682.0,21358.393848782573,20528.0,46.48538581449727,33.0,1962.0,56.0,85.0,20528.0,29383.0,32,150
workloada,baseline,4202.0,23798.191337458353,20462.0,41.190450591340046,31.0,539.0,52.0,76.0,20462.0,29461.0,32,150
workloada,alaska,4908.0,20374.89812550937,20427.0,50.04038772213247,35.0,22335.0,63.0,94.0,20427.0,29366.0,1,250
workloada,baseline,4185.0,23894.862604540023,20562.0,40.83138799727653,32.0,889.0,50.0,86.0,20562.0,29497.0,1,250
workloada,alaska,4243.0,23568.23002592505,20634.0,41.81307550644567,34.0,1569.0,53.0,77.0,20634.0,29336.0,2,250
workloada,baseline,3834.0,26082.42044861763,20522.0,38.62732677126986,25.0,22719.0,49.0,90.0,20522.0,29516.0,2,250
workloada,alaska,4516.0,22143.489813994685,20347.0,45.15353614783506,31.0,11207.0,60.0,92.0,20347.0,29544.0,4,250
workloada,baseline,3427.0,29180.040852057195,20551.0,33.63140479782006,25.0,456.0,59.0,87.0,20551.0,29706.0,4,250
workloada,alaska,4465.0,22396.416573348266,20426.0,43.86962694604915,34.0,1688.0,54.0,89.0,20426.0,29432.0,8,250
workloada,baseline,3530.0,28328.611898016996,20650.0,35.085762711864405,26.0,15831.0,60.0,86.0,20650.0,29233.0,8,250
workloada,alaska,3438.0,29086.678301337986,20482.0,34.036031637535395,26.0,422.0,50.0,88.0,20482.0,29517.0,16,250
workloada,baseline,4176.0,23946.360153256705,20362.0,40.343826736077006,25.0,552.0,53.0,79.0,20362.0,29538.0,16,250
workloada,alaska,3559.0,28097.780275358247,20444.0,36.71306984934455,26.0,14799.0,50.0,89.0,20444.0,29359.0,32,250
workloada,baseline,4300.0,23255.81395348837,20689.0,42.218956933636235,33.0,6707.0,52.0,78.0,20689.0,29349.0,32,250
workloada,alaska,3403.0,29385.83602703497,20433.0,34.93290265746587,26.0,22623.0,48.0,77.0,20433.0,29660.0,1,350
workloada,baseline,3250.0,30769.23076923077,20654.0,32.67807688583325,25.0,22911.0,42.0,69.0,20654.0,29379.0,1,350
workloada,alaska,4271.0,23413.720440177945,20577.0,43.421052631578945,27.0,15119.0,55.0,89.0,20577.0,29578.0,2,350
workloada,baseline,4684.0,21349.27412467976,20517.0,45.60764244285227,32.0,631.0,54.0,98.0,20517.0,29517.0,2,350
workloada,alaska,3443.0,29044.43799012489,20607.0,35.3357111661086,26.0,21983.0,52.0,87.0,20607.0,29314.0,4,350
workloada,baseline,4140.0,24154.589371980677,20495.0,41.191412539643814,31.0,12623.0,55.0,89.0,20495.0,29518.0,4,350
workloada,alaska,4245.0,23557.126030624262,20559.0,43.77844253125152,33.0,22351.0,55.0,88.0,20559.0,29532.0,8,350
workloada,baseline,4104.0,24366.471734892788,20572.0,40.554102663814895,32.0,15151.0,50.0,94.0,20572.0,29938.0,8,350
workloada,alaska,4166.0,24003.84061449832,20446.0,40.92443509732955,28.0,468.0,50.0,82.0,20446.0,29458.0,16,350
workloada,baseline,3281.0,30478.51264858275,20454.0,32.61352302728073,25.0,14631.0,45.0,81.0,20454.0,29448.0,16,350
workloada,alaska,4215.0,23724.79240806643,20609.0,42.818380319277985,34.0,23999.0,50.0,91.0,20609.0,29598.0,32,350
workloada,baseline,3186.0,31387.319522912745,20688.0,30.97732985305491,24.0,369.0,42.0,80.0,20688.0,29441.0,32,350
workloada,alaska,4480.0,22321.428571428572,20737.0,44.42079375030139,34.0,6327.0,54.0,85.0,20737.0,29522.0,1,450
workloada,baseline,4789.0,20881.186051367717,20473.0,48.24730132369462,33.0,19119.0,62.0,94.0,20473.0,29665.0,1,450
workloada,alaska,4315.0,23174.97103128621,20463.0,44.509358354102524,31.0,22911.0,55.0,95.0,20463.0,29543.0,2,450
workloada,baseline,3975.0,25157.232704402515,20480.0,39.389697265625,26.0,10375.0,50.0,98.0,20480.0,29638.0,2,450
workloada,alaska,3831.0,26102.845210127904,20569.0,38.3141134717293,26.0,9607.0,52.0,82.0,20569.0,29572.0,4,450
workloada,baseline,4115.0,24301.336573511544,20533.0,41.29148200457799,30.0,14343.0,54.0,86.0,20533.0,29500.0,4,450
workloada,alaska,4251.0,23523.87673488591,20390.0,42.01535066208926,26.0,1908.0,56.0,94.0,20390.0,29770.0,8,450
workloada,baseline,4085.0,24479.804161566706,20518.0,41.68232771225266,30.0,22175.0,52.0,88.0,20518.0,29476.0,8,450
workloada,alaska,3802.0,26301.946344029457,20490.0,37.75822352367008,26.0,430.0,53.0,104.0,20490.0,29488.0,16,450
workloada,baseline,4057.0,24648.75523786049,20532.0,41.11158192090395,32.0,14351.0,52.0,83.0,20532.0,29369.0,16,450
workloada,alaska,4505.0,22197.558268590456,20396.0,44.573936065895275,27.0,2333.0,57.0,80.0,20396.0,29479.0,32,450
workloada,baseline,4096.0,24414.0625,20460.0,40.17536656891495,31.0,438.0,50.0,89.0,20460.0,29506.0,32,450
workloada,alaska,4719.0,21190.930281839373,20592.0,46.72222222222222,26.0,1556.0,58.0,90.0,20592.0,29588.0,1,550
workloada,baseline,4294.0,23288.30926874709,20515.0,43.022032659029975,32.0,22639.0,56.0,92.0,20515.0,29537.0,1,550
workloada,alaska,4210.0,23752.969121140144,20375.0,42.69811042944785,27.0,22527.0,55.0,99.0,20375.0,29715.0,2,550
workloada,baseline,4435.0,22547.91431792559,20403.0,43.34411606136352,32.0,1369.0,54.0,90.0,20403.0,29456.0,2,550
workloada,alaska,4263.0,23457.65892563922,20490.0,42.18940946803319,26.0,1656.0,55.0,82.0,20490.0,29409.0,4,550
workloada,baseline,3651.0,27389.756231169544,20539.0,36.71590632455329,24.0,22783.0,49.0,82.0,20539.0,29489.0,4,550
workloada,alaska,4476.0,22341.37622877569,20595.0,44.510755037630496,31.0,18879.0,54.0,88.0,20595.0,29583.0,8,550
workloada,baseline,4825.0,20725.38860103627,20432.0,46.986344949099454,29.0,558.0,56.0,91.0,20432.0,29665.0,8,550
workloada,alaska,4062.0,24618.41457410143,20435.0,41.16408123317837,32.0,23519.0,52.0,83.0,20435.0,29621.0,16,550
workloada,baseline,4131.0,24207.21374969741,20551.0,40.99289572283587,30.0,7115.0,53.0,89.0,20551.0,29685.0,16,550
workloada,alaska,4962.0,20153.16404675534,20421.0,49.509475539885415,39.0,10959.0,58.0,93.0,20421.0,29248.0,32,550
workloada,baseline,4772.0,20955.574182732606,20700.0,46.95183574879227,35.0,451.0,55.0,91.0,20700.0,29689.0,32,550
workloada,alaska,4967.0,20132.876988121603,20676.0,50.15467208357516,39.0,14311.0,61.0,88.0,20676.0,29433.0,1,650
workloada,baseline,4005.0,24968.789013732832,20636.0,40.85413839891452,25.0,18751.0,52.0,75.0,20636.0,29834.0,1,650
