time_ms,rss
0,3276800
150,42835968
300,139124736
450,229257216
600,240832512
750,240832512
900,240832512
1050,240832512
1200,240832512
1350,240832512
1501,240832512
1651,240832512
1801,240832512
1951,240832512
2101,238739456
2251,238739456
2401,237715456
2551,237715456
2701,237600768
2851,237600768
3001,237600768
3152,237600768
3302,237600768
3452,237600768
3602,237600768
3752,237600768
3902,237600768
4052,237600768
4202,237600768
4352,237600768
4502,237600768
4653,233787392
4803,233787392
4953,233787392
5103,233787392
5253,233787392
5403,233787392
5553,228831232
5703,228831232
5853,228831232
6003,224051200
6153,224051200
6304,221446144
6454,221446144
6604,218578944
6754,215490560
6904,215490560
7054,212168704
7204,212168704
7354,207925248
7504,207925248
7654,202690560
7805,202690560
7955,198017024
8105,198017024
8255,198017024
8405,192434176
8555,192434176
8705,186830848
8855,186830848
9005,182067200
9155,182067200
9306,176644096
9456,176644096
9606,172179456
9756,172179456
9906,168669184
10056,168669184
10206,165318656
10356,162185216
10506,162185216
