time_ms,rss
0,3837952
150,22306816
300,68362240
450,114393088
600,157609984
751,204083200
901,239173632
1051,239206400
1201,239206400
1351,238899200
1501,227373056
1651,220688384
1801,210440192
1951,204931072
2101,200208384
2252,198742016
2402,196685824
2552,196685824
2702,196685824
2852,196685824
3002,196685824
3152,196685824
3302,196685824
3452,196685824
3602,196685824
3753,196685824
3903,196685824
4053,196685824
4203,196685824
4353,196685824
4503,196685824
4653,196685824
4803,196685824
4953,196685824
5103,196685824
5254,196685824
5404,196685824
5554,196685824
5704,196685824
5854,196685824
6004,196685824
6154,196685824
6304,196685824
6454,196685824
6605,196685824
6755,196685824
6905,196685824
7055,196685824
7205,196685824
7355,196685824
7505,196685824
7655,196685824
7805,196685824
7955,196685824
8106,196685824
8256,196685824
8406,196685824
8556,196685824
8706,196685824
8856,196685824
9006,196685824
9156,196685824
9306,196685824
9456,196685824
9607,196685824
9757,196685824
9907,196685824
10057,196685824
10207,196685824
10357,196685824
10507,196685824
10657,196685824
10807,196685824
10958,196685824
