suite,benchmark,config,time,stime,utime,major,minor,maxrss,status
Embench,matmult-int,alaska,2.1773439999999997,0.002985,2.174359,0,131,73408,0
Embench,matmult-int,alaska,2.188955,0.001996,2.186959,0,135,73604,0
Embench,matmult-int,baseline,2.588105,0.000995,2.58711,0,128,73604,0
Embench,matmult-int,baseline,2.589997,0.000997,2.589,0,129,73544,0
Embench,crc32,alaska,4.357527,0.0,4.357527,0,129,73544,0
Embench,crc32,alaska,4.341679,0.0,4.341679,0,129,73548,0
Embench,crc32,baseline,4.341371,0.001993,4.339378,0,126,73548,0
Embench,crc32,baseline,4.33528,0.000992,4.334288,0,125,73552,0
Embench,huffbench,alaska,2.833896,0.0,2.833896,0,133,73552,0
Embench,huffbench,alaska,2.819142,0.0,2.819142,0,133,73560,0
Embench,huffbench,baseline,2.391957,0.0,2.391957,0,129,73564,0
Embench,huffbench,baseline,2.404624,0.0,2.404624,0,128,73564,0
Embench,statemate,alaska,1.369603,0.000996,1.368607,0,131,73568,0
Embench,statemate,alaska,1.37078,0.000993,1.369787,0,128,73568,0
Embench,statemate,baseline,1.384491,0.0,1.384491,0,124,73572,0
Embench,statemate,baseline,1.3612389999999999,0.0,1.3612389999999999,0,127,73568,0
Embench,minver,alaska,0.562611,0.0,0.562611,0,130,73576,0
Embench,minver,alaska,0.553462,0.0,0.553462,0,131,73648,0
Embench,minver,baseline,0.565576,0.001993,0.563583,0,125,73588,0
Embench,minver,baseline,0.5557449999999999,0.0,0.5557449999999999,0,124,73652,0
Embench,slre,alaska,3.9964120000000003,0.00199,3.994422,0,134,73596,0
Embench,slre,alaska,3.996922,0.0,3.996922,0,132,73596,0
Embench,slre,baseline,2.881136,0.00098,2.880156,0,127,73668,0
Embench,slre,baseline,2.883798,0.0,2.883798,0,129,73680,0
Embench,edn,alaska,3.496134,0.001986,3.494148,0,131,73744,0
Embench,edn,alaska,3.507021,0.0009989999999999999,3.5060219999999997,0,131,73684,0
Embench,edn,baseline,3.4663190000000004,0.0009989999999999999,3.46532,0,127,73692,0
Embench,edn,baseline,3.484345,0.0019909999999999997,3.482354,0,126,73636,0
Embench,nbody,alaska,0.18179299999999998,0.0,0.18179299999999998,0,132,73640,0
Embench,nbody,alaska,0.18365299999999998,0.000992,0.182661,0,130,73768,0
Embench,nbody,baseline,0.177835,0.000995,0.17684,0,125,73652,0
Embench,nbody,baseline,0.180758,0.0,0.180758,0,124,73652,0
Embench,tarfind,alaska,0.981631,0.000998,0.980633,0,130,73656,0
Embench,tarfind,alaska,1.007279,0.000995,1.006284,0,132,73792,0
Embench,tarfind,baseline,0.9064669999999999,0.0,0.9064669999999999,0,129,73664,0
Embench,tarfind,baseline,0.9111809999999999,0.0,0.9111809999999999,0,127,73668,0
Embench,cubic,alaska,0.20882099999999998,0.000995,0.20782599999999998,0,135,73668,0
Embench,cubic,alaska,0.20662,0.0,0.20662,0,137,73672,0
Embench,cubic,baseline,0.19988599999999998,0.0009989999999999999,0.19888699999999998,0,129,73804,0
Embench,cubic,baseline,0.199238,0.0,0.199238,0,129,73680,0
Embench,aha-mont64,alaska,4.611511,0.0,4.611511,0,132,73696,0
Embench,aha-mont64,alaska,4.640231,0.000993,4.639238,0,133,73828,0
Embench,aha-mont64,baseline,4.5708210000000005,0.000992,4.569829,0,124,73764,0
Embench,aha-mont64,baseline,4.572469,0.001989,4.57048,0,124,73768,0
Embench,primecount,alaska,11.607013,0.001996,11.605017,0,128,73768,0
Embench,primecount,alaska,11.625876,0.0,11.625876,0,130,73832,0
Embench,primecount,baseline,11.268215,0.0009989999999999999,11.267216,0,127,73708,0
Embench,primecount,baseline,11.228324,0.0,11.228324,0,124,73712,0
Embench,picojpeg,alaska,2.509767,0.001992,2.507775,0,135,73712,0
Embench,picojpeg,alaska,2.507088,0.000993,2.506095,0,138,73712,0
Embench,picojpeg,baseline,2.313089,0.0,2.313089,0,126,73720,0
Embench,picojpeg,baseline,2.311724,0.0,2.311724,0,126,73720,0
Embench,st,alaska,0.19103599999999998,0.0,0.19103599999999998,0,131,73720,0
Embench,st,alaska,0.1881,0.0019879999999999997,0.186112,0,128,73728,0
Embench,st,baseline,0.18989699999999998,0.000996,0.18890099999999999,0,123,73728,0
Embench,st,baseline,0.18821,0.000993,0.187217,0,126,73728,0
Embench,nsichneu,alaska,2.2873419999999998,0.0,2.2873419999999998,0,130,73732,0
Embench,nsichneu,alaska,2.27472,0.0,2.27472,0,129,73732,0
Embench,nsichneu,baseline,2.281268,0.000992,2.2802759999999997,0,126,73736,0
Embench,nsichneu,baseline,2.274494,0.0,2.274494,0,126,73736,0
Embench,ud,alaska,3.843195,0.000995,3.8422,0,130,73740,0
Embench,ud,alaska,3.852872,0.001989,3.850883,0,131,73744,0
Embench,ud,baseline,3.92758,0.0009939999999999999,3.926586,0,128,73744,0
Embench,ud,baseline,3.9169910000000003,0.0009989999999999999,3.915992,0,125,73744,0
Embench,nettle-aes,alaska,2.755797,0.0,2.755797,0,132,73752,0
Embench,nettle-aes,alaska,2.7437449999999997,0.0019909999999999997,2.741754,0,127,73764,0
Embench,nettle-aes,baseline,2.746029,0.000998,2.745031,0,127,73768,0
Embench,nettle-aes,baseline,2.7467849999999996,0.000993,2.745792,0,124,73788,0
Embench,wikisort,alaska,0.9021549999999999,0.0,0.9021549999999999,0,135,73792,0
Embench,wikisort,alaska,0.893979,0.0,0.893979,0,137,73792,0
Embench,wikisort,baseline,0.775358,0.0,0.775358,0,126,73800,0
Embench,wikisort,baseline,0.7634129999999999,0.0009989999999999999,0.7624139999999999,0,123,73800,0
Embench,sglib-combined,alaska,4.451732,0.0,4.451732,0,144,73824,0
Embench,sglib-combined,alaska,4.445184,0.0,4.445184,0,145,73828,0
Embench,sglib-combined,baseline,2.802887,0.0,2.802887,0,128,73832,0
Embench,sglib-combined,baseline,2.803406,0.0,2.803406,0,126,73964,0
Embench,qrduino,alaska,7.99618,0.0,7.99618,0,133,73848,0
Embench,qrduino,alaska,7.978552,0.000995,7.977557,0,133,73852,0
Embench,qrduino,baseline,6.929242,0.000998,6.928244,0,127,73904,0
Embench,qrduino,baseline,6.906421,0.000993,6.905428,0,124,73912,0
Embench,md5sum,alaska,1.3918490000000001,0.000998,1.390851,0,127,73920,0
Embench,md5sum,alaska,1.402555,0.000993,1.401562,0,130,74052,0
Embench,md5sum,baseline,1.5382149999999999,0.0009989999999999999,1.537216,0,127,74068,0
Embench,md5sum,baseline,1.536661,0.000995,1.535666,0,124,73940,0
Embench,nettle-sha256,alaska,3.4048469999999997,0.001,3.403847,0,132,73952,0
Embench,nettle-sha256,alaska,3.409293,0.000985,3.408308,0,132,73960,0
Embench,nettle-sha256,baseline,3.2721099999999996,0.001994,3.270116,0,125,73964,0
Embench,nettle-sha256,baseline,3.253794,0.0,3.253794,0,125,73964,0
GAP,bc,alaska,4.886214,0.098739,4.787475,0,50497,145732,0
GAP,bc,alaska,4.97494,0.09277099999999999,4.882169,0,50496,145656,0
GAP,bc,baseline,4.716241,0.10971399999999999,4.606527,0,50441,145284,0
GAP,bc,baseline,4.497145000000001,0.10263499999999999,4.39451,0,50451,145564,0
GAP,bfs,alaska,2.430098,0.09575199999999999,2.334346,0,49162,145684,0
GAP,bfs,alaska,2.428237,0.10175999999999999,2.326477,0,49160,145680,0
GAP,bfs,baseline,2.2287980000000003,0.089741,2.139057,0,49114,145240,0
GAP,bfs,baseline,2.309478,0.110702,2.198776,0,49111,145356,0
GAP,cc,alaska,2.501972,0.107723,2.394249,0,49163,145756,0
GAP,cc,alaska,2.50243,0.10367599999999999,2.398754,0,49157,145524,0
GAP,cc,baseline,2.3477889999999997,0.10274699999999999,2.2450419999999998,0,49111,145452,0
GAP,cc,baseline,2.3654710000000003,0.097754,2.267717,0,49113,145556,0
GAP,cc_sv,alaska,4.090262,0.09571099999999999,3.994551,0,49161,145696,0
GAP,cc_sv,alaska,4.209919999999999,0.11171199999999999,4.098208,0,49158,145504,0
GAP,cc_sv,baseline,4.101231,0.10271,3.998521,0,49112,145400,0
GAP,cc_sv,baseline,4.154279,0.09774999999999999,4.056529,0,49113,145412,0
GAP,pr,alaska,8.882940999999999,0.11470899999999999,8.768232,0,49177,145612,0
GAP,pr,alaska,9.366725,0.102714,9.264011,0,49178,145712,0
GAP,pr,baseline,9.156195,0.10174899999999999,9.054446,0,49128,145556,0
GAP,pr,baseline,9.204491,0.10066399999999999,9.103827,0,50148,145528,0
GAP,pr_spmv,alaska,8.613956,0.09872199999999999,8.515234,0,49197,145784,0
GAP,pr_spmv,alaska,8.588694,0.09571099999999999,8.492983,0,49179,145704,0
GAP,pr_spmv,baseline,9.013446,0.10963099999999999,8.903815,0,49147,145376,0
GAP,pr_spmv,baseline,8.563175999999999,0.10672,8.456456,0,49124,145532,0
GAP,sssp,alaska,4.3460339999999995,0.188558,4.157476,0,89396,270732,0
GAP,sssp,alaska,4.516315,0.168532,4.347783,0,89395,270684,0
GAP,sssp,baseline,4.059197,0.198406,3.860791,0,89342,270560,0
GAP,sssp,baseline,4.060336,0.199435,3.860901,0,89343,270536,0
GAP,tc,alaska,102.69236699999999,0.716055,101.976312,0,354414,151964,0
GAP,tc,alaska,103.539699,0.712907,102.826792,0,354682,151864,0
GAP,tc,baseline,89.94514600000001,0.773694,89.171452,0,354128,151860,0
GAP,tc,baseline,89.986515,0.730942,89.255573,0,354128,151832,0
NAS,bt,alaska,408.608909,0.8313699999999999,407.777539,0,305697,1233960,0
NAS,bt,alaska,409.031314,0.825541,408.205773,0,306205,1233772,0
NAS,bt,baseline,408.598931,0.789806,407.809125,0,306196,1233652,0
NAS,bt,baseline,410.54841100000004,0.8178719999999999,409.730539,0,306202,1233944,0
NAS,sp,alaska,192.09681099999997,0.187516,191.909295,0,78616,325528,0
NAS,sp,alaska,197.766895,0.185506,197.581389,0,78618,325672,0
NAS,sp,baseline,192.53023700000003,0.216797,192.31344,0,78609,325672,0
NAS,sp,baseline,198.68950999999998,0.193276,198.496234,0,78606,325396,0
NAS,lu,alaska,197.39514,0.116672,197.278468,0,42600,181616,0
NAS,lu,alaska,200.24779800000002,0.110676,200.137122,0,42604,181648,0
NAS,lu,baseline,197.375454,0.11160199999999999,197.26385199999999,0,42590,181404,0
NAS,lu,baseline,195.44008599999998,0.10364799999999999,195.336438,0,42594,181588,0
NAS,mg,alaska,6.3243979999999995,0.23645,6.087948,0,112628,453584,0
NAS,mg,alaska,6.298673000000001,0.21842899999999998,6.080244,0,112627,453540,0
NAS,mg,baseline,6.218677,0.22538799999999998,5.993289,0,112133,451608,0
NAS,mg,baseline,6.253355,0.21845799999999999,6.034897,0,112136,451564,0
NAS,ft,alaska,44.600776,0.811008,43.789768,0,426044,1725920,0
NAS,ft,alaska,53.229636,0.8141339999999999,52.415502,0,426048,1725812,0
NAS,ft,baseline,51.918037,0.846688,51.071349,0,426044,1725908,0
NAS,ft,baseline,52.019624,0.85775,51.161874,0,426043,1725852,0
NAS,is,alaska,8.240911,0.135702,8.105209,0,65222,282388,0
NAS,is,alaska,8.167753,0.129735,8.038018,0,65223,282264,0
NAS,is,baseline,7.995406,0.119749,7.875657,0,65220,282136,0
NAS,is,baseline,8.205243,0.136655,8.068588,0,65222,282352,0
NAS,cg,alaska,131.65205699999999,0.243285,131.408772,0,98891,417044,0
NAS,cg,alaska,131.954754,0.244337,131.710417,0,98888,416840,0
NAS,cg,baseline,132.042382,0.251285,131.791097,0,98883,416984,0
NAS,cg,baseline,131.949016,0.247212,131.701804,0,98883,416988,0
NAS,ep,alaska,70.391665,0.003958,70.387707,0,433,75292,0
NAS,ep,alaska,70.450233,0.000998,70.449235,0,434,75300,0
NAS,ep,baseline,70.140416,0.001949,70.138467,0,428,75312,0
NAS,ep,baseline,70.265586,0.003962,70.261624,0,429,75312,0
