workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,7161.0,13964.53009356235,20302.0,73.24041966308738,49.0,28447.0,100.0,141.0,20302.0,29652.0,1,50
workloada,baseline,5944.0,16823.687752355316,20526.0,58.57717041800643,46.0,861.0,80.0,118.0,20526.0,29409.0,1,50
workloada,alaska,6453.0,15496.668216333488,20526.0,65.09056806002144,44.0,2689.0,93.0,152.0,20526.0,29324.0,2,50
workloada,baseline,6101.0,16390.755613833797,20360.0,60.690864440078585,45.0,897.0,89.0,132.0,20360.0,29777.0,2,50
workloada,alaska,6335.0,15785.319652722968,20464.0,64.74765441751369,47.0,2405.0,88.0,141.0,20464.0,29445.0,4,50
workloada,baseline,5823.0,17173.278378842522,20591.0,57.590112184935165,44.0,1008.0,83.0,136.0,20591.0,29430.0,4,50
workloada,alaska,6747.0,14821.402104639099,20486.0,68.11051449770575,47.0,4923.0,103.0,137.0,20486.0,29669.0,8,50
workloada,baseline,6581.0,15195.2590791673,20496.0,65.48994925839187,45.0,14455.0,101.0,145.0,20496.0,29407.0,8,50
workloada,alaska,6843.0,14613.47362268011,20392.0,69.04629266378973,47.0,2859.0,95.0,146.0,20392.0,29789.0,16,50
workloada,baseline,6176.0,16191.709844559586,20515.0,63.399902510358274,45.0,34687.0,94.0,140.0,20515.0,29508.0,16,50
workloada,alaska,7316.0,13668.671405139421,20601.0,74.20314547837484,46.0,3153.0,103.0,152.0,20601.0,29306.0,32,50
workloada,baseline,6122.0,16334.53119895459,20518.0,62.46734574519934,44.0,22495.0,87.0,136.0,20518.0,29468.0,32,50
workloada,alaska,7496.0,13340.448239060832,20565.0,76.10833941162169,49.0,29615.0,104.0,139.0,20565.0,29269.0,1,150
workloada,baseline,7176.0,13935.340022296545,20506.0,71.96913098605286,48.0,13791.0,99.0,133.0,20506.0,29329.0,1,150
workloada,alaska,7175.0,13937.282229965156,20489.0,70.97793938210748,49.0,2419.0,102.0,148.0,20489.0,29442.0,2,150
workloada,baseline,5998.0,16672.224074691563,20531.0,59.658954751351615,45.0,673.0,85.0,124.0,20531.0,29508.0,2,150
workloada,alaska,7182.0,13923.69813422445,20510.0,72.89570941004388,48.0,31791.0,99.0,133.0,20510.0,29360.0,4,150
