time_ms,rss
0,2039808
150,22872064
300,58556416
450,89104384
600,128843776
750,151281664
900,176152576
1051,208863232
1201,239382528
1351,272363520
1501,304803840
1651,306753536
1801,306753536
1951,306753536
2043,300679168
2193,300679168
2343,300679168
2494,300679168
2644,300679168
2794,300679168
2964,255049728
3114,255049728
3264,255049728
3414,255049728
3564,255049728
3715,255049728
3865,255049728
4015,255049728
4118,222015488
4268,222015488
4418,222015488
4568,222015488
4719,222015488
4869,222015488
5019,222015488
5203,194813952
5353,194813952
5503,194813952
5653,194813952
5804,194813952
5954,194813952
6104,194813952
6167,161525760
6317,161525760
6468,161525760
6618,161525760
6768,161525760
6918,161525760
7068,161525760
7218,161525760
7368,161525760
7519,161525760
7669,161525760
7819,161525760
7969,161525760
8119,161525760
8269,161525760
8420,161525760
8570,161525760
8720,161525760
8870,161525760
9020,161525760
9170,161525760
9321,161525760
9471,161525760
9621,161525760
9771,161525760
9921,161525760
10071,161525760
10221,161525760
10372,161525760
10522,161525760
10672,161525760
10822,161525760
10972,161525760
11122,161525760
11273,161525760
11423,161525760
11573,161525760
