time_ms,rss
0,13025280
150,29270016
300,65089536
450,97935360
600,128081920
750,160927744
900,196751360
1051,230535168
1201,247513088
1351,247533568
1501,247533568
1651,246804480
1801,242827264
1951,237797376
2102,227758080
2252,217583616
2402,210685952
2552,208867328
2702,206594048
2852,205754368
3003,205754368
3153,205754368
3303,205754368
3453,205754368
3603,205754368
3753,205754368
3903,205754368
4054,205754368
4204,205754368
4354,205754368
4504,205754368
4654,205754368
4804,205754368
4954,205754368
5105,205754368
5255,205754368
5405,205754368
5555,205754368
5705,205754368
5855,205754368
6006,205754368
6156,205754368
6306,205754368
6456,205754368
6606,205754368
6756,205754368
6907,205754368
7057,205754368
7207,205754368
7357,205754368
7507,205754368
7657,205754368
7808,205754368
7958,205754368
8108,205754368
8258,205754368
8408,205754368
8558,205754368
8708,205754368
8859,205754368
9009,205754368
9159,205754368
9309,205754368
9459,205754368
9609,205754368
9759,205754368
9910,205754368
10060,205754368
10210,205754368
10360,205754368
10510,205754368
10660,205754368
10811,205754368
10961,205754368
11111,205754368
