workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,4914.0,20350.02035002035,20592.0,48.500291375291376,36.0,1558.0,58.0,96.0,20592.0,29451.0,1,50
workloada,alaska,5147.0,19428.793471925394,20359.0,52.53430915074414,40.0,22239.0,63.0,98.0,20359.0,29621.0,1,50
workloada,baseline,3187.0,31377.470975839347,20694.0,31.467671788924324,25.0,7327.0,41.0,82.0,20694.0,29301.0,1,50
workloada,baseline,3415.0,29282.576866764277,20737.0,34.02796933018276,24.0,22319.0,47.0,83.0,20737.0,29463.0,1,50
workloada,alaska,4209.0,23758.61249703017,20490.0,42.21054172767204,33.0,17807.0,50.0,91.0,20490.0,29601.0,2,50
workloada,alaska,4294.0,23288.30926874709,20523.0,43.52292549822151,34.0,14471.0,54.0,85.0,20523.0,29442.0,2,50
workloada,baseline,4510.0,22172.949002217294,20563.0,43.75003647327725,31.0,370.0,52.0,83.0,20563.0,29399.0,2,50
workloada,baseline,3347.0,29877.502240812668,20676.0,33.40143161153028,24.0,13991.0,50.0,85.0,20676.0,29627.0,2,50
workloada,alaska,4207.0,23769.90729736154,20578.0,42.58280688113519,31.0,22495.0,46.0,89.0,20578.0,29376.0,4,50
workloada,alaska,4023.0,24857.071836937608,20738.0,41.37380653872119,27.0,18959.0,55.0,85.0,20738.0,29864.0,4,50
workloada,baseline,3229.0,30969.34035305048,20446.0,32.62662623496038,25.0,14399.0,42.0,79.0,20446.0,29718.0,4,50
workloada,baseline,4246.0,23551.577955723034,20408.0,41.536505292042335,25.0,719.0,52.0,86.0,20408.0,29662.0,4,50
workloada,alaska,4510.0,22172.949002217294,20575.0,46.736427703523695,33.0,22191.0,59.0,95.0,20575.0,29411.0,8,50
workloada,alaska,4293.0,23293.733985557887,20541.0,42.4489557470425,32.0,2559.0,54.0,97.0,20541.0,29353.0,8,50
workloada,baseline,4538.0,22036.139268400177,20402.0,45.621507695323984,33.0,22287.0,53.0,86.0,20402.0,29610.0,8,50
workloada,baseline,3725.0,26845.637583892618,20384.0,37.90860478806908,24.0,18799.0,51.0,76.0,20384.0,29496.0,8,50
workloada,alaska,4315.0,23174.97103128621,20428.0,44.00817505384766,34.0,22607.0,51.0,83.0,20428.0,29570.0,16,50
workloada,alaska,3503.0,28546.959748786754,20267.0,34.88922879557902,26.0,1663.0,46.0,79.0,20267.0,29681.0,16,50
workloada,baseline,4256.0,23496.24060150376,20517.0,41.05103085246381,23.0,528.0,52.0,82.0,20517.0,29493.0,16,50
workloada,baseline,4197.0,23826.54276864427,20573.0,41.94366402566471,26.0,22847.0,52.0,89.0,20573.0,29477.0,16,50
workloada,alaska,4512.0,22163.120567375885,20485.0,45.28938247498169,33.0,6955.0,64.0,86.0,20485.0,29657.0,32,50
workloada,alaska,4436.0,22542.83137962128,20612.0,44.91543760915971,34.0,22463.0,53.0,91.0,20612.0,29643.0,32,50
workloada,baseline,3387.0,29524.65308532625,20575.0,33.17176184690158,24.0,632.0,51.0,76.0,20575.0,29413.0,32,50
workloada,baseline,4335.0,23068.05074971165,20516.0,43.15943653733671,34.0,19007.0,59.0,89.0,20516.0,29648.0,32,50
workloada,alaska,4759.0,21012.81781886951,20484.0,47.932923257176334,31.0,22511.0,53.0,91.0,20484.0,29648.0,1,150
workloada,alaska,3945.0,25348.542458808617,20603.0,38.92729214192108,27.0,1581.0,51.0,90.0,20603.0,29322.0,1,150
workloada,baseline,4174.0,23957.834211787256,20524.0,41.92749951276554,30.0,22639.0,47.0,76.0,20524.0,29511.0,1,150
workloada,baseline,4339.0,23046.784973496196,20483.0,43.22569936044525,33.0,22591.0,59.0,86.0,20483.0,29814.0,1,150
workloada,alaska,4441.0,22517.45102454402,20405.0,43.9587846116148,36.0,1583.0,53.0,91.0,20405.0,29387.0,2,150
workloada,alaska,3783.0,26434.047052603753,20466.0,38.67135737320434,27.0,22095.0,49.0,75.0,20466.0,29571.0,2,150
workloada,baseline,3452.0,28968.713789107762,20388.0,34.62796743182264,26.0,18415.0,42.0,85.0,20388.0,29519.0,2,150
workloada,baseline,4171.0,23975.065931431312,20468.0,42.08564588626148,26.0,19071.0,57.0,88.0,20468.0,29726.0,2,150
workloada,alaska,3409.0,29334.11557641537,20706.0,33.58717280015455,27.0,1585.0,51.0,87.0,20706.0,29413.0,4,150
workloada,alaska,3712.0,26939.655172413793,20580.0,36.49285714285714,27.0,1754.0,50.0,91.0,20580.0,29502.0,4,150
workloada,baseline,3480.0,28735.632183908045,20414.0,33.95650044087391,24.0,549.0,55.0,83.0,20414.0,29529.0,4,150
workloada,baseline,4076.0,24533.85672227674,20548.0,39.74328401790928,26.0,567.0,50.0,90.0,20548.0,29414.0,4,150
workloada,alaska,4654.0,21486.892995272883,20563.0,45.95482176725186,27.0,1751.0,56.0,84.0,20563.0,29679.0,8,150
workloada,alaska,4790.0,20876.826722338206,20487.0,47.00205008053888,25.0,1624.0,57.0,91.0,20487.0,29288.0,8,150
workloada,baseline,4044.0,24727.99208704253,20374.0,39.84504760969863,33.0,7451.0,53.0,79.0,20374.0,29555.0,8,150
workloada,baseline,4269.0,23424.689622862497,20344.0,42.27118560755014,32.0,14087.0,59.0,90.0,20344.0,29463.0,8,150
workloada,alaska,3911.0,25568.908207619534,20630.0,39.50218128938439,28.0,14519.0,52.0,83.0,20630.0,29367.0,16,150
